stem,세부직무명,회사명,담당업무,우대사항,스킬
0214_GI48308090_펑타이그레이터차이나(유) 채용 - [PTKOREA] 글로벌 대기업 플랫폼 콘텐츠 기획 _ 잡코리아,데이터 분석가,펑타이그레이터차이나(유),[],['글로벌 플랫폼 운영 경험 혹은 AEM 플랫폼 Component 기반의 사이트 구축/운영 경험이 있으신 분'],[]
0215_GI48284851_펑타이그레이터차이나(유) 채용 - [PTKOREA] 대기업 디지털 콘텐츠 기회 및 제작 _ 잡코리아,데이터 분석가,펑타이그레이터차이나(유),"['대기업 디지털 콘텐츠 기회 및 제작 대기업 캠페인 진행을 위한 eDM 컨텐츠 및 디지털 컨텐츠 기획과 제작 (0명) 광고주 리포팅 및 협업 부서와 커뮤니케이션 업무 가이드 제작과 산출물 관리 트렌드 써치,컨셉 개발과 기획']","['업무에 대한 책임감과 조직 내 적응력이 있으신 분', '팀원과 적극적인 관계 형성과 긍정적 마인드셋을 보유하신 분']",[]
0216_GI48242653_펑타이그레이터차이나(유) 채용 - [PTKOREA] 대기업 고객사 IT 시스템 운영 엔지니어 (네트워크) _ 잡코리아,데이터 분석가,펑타이그레이터차이나(유),[],"['네트워크 관련 자격증을 보유하신 분', '이위융 업연위 해- 서버 및 보안 솔루션 관련 이해도가 높으신 분']",[]
0219_GI48363601_펑타이그레이터차이나(유) 채용 - [PTKOREA] 대기업 글로벌 APP 운영 - 퍼블리셔 및 QA (Publish_QA) _ 잡코리아,데이터 분석가,펑타이그레이터차이나(유),['대기업 글로벌 APP 운영'],"['온라인 플랫폼 운영 프로젝트를 경험하신 분', '영어 커뮤니케이션(Speaking)원활하신 분', 'Jira/Confluence 등 업무 관리 툴 사용 경험 있으신 분']",['Excel']
0220_GI48284737_펑타이그레이터차이나(유) 채용 - [PTKOREA] 총무 경력 채용 (5-10년차) _ 잡코리아,데이터 분석가,펑타이그레이터차이나(유),[],['사무환경 기획 및 개선 프로젝트 경험이 있으신 분 ※관련 포트폴리오(PDF 형식)제출 시 우대'],[]
0221_GI48297172_펑타이그레이터차이나 유한회사 채용 - [PTKOREA] 미디어 플래너 _ 잡코리아,데이터 분석가,펑타이그레이터차이나 유한회사,['미디어플래너'],['GA 활용 및 데이터 인사이트 발굴 가능하신 분'],['GA']
0223_GI48093223_㈜게임듀오 채용 - 사업 개발 담당자 _ 잡코리아,데이터 분석가,㈜게임듀오,"['게임 데이터 분석가 (0명) 회사의 전반적인 수익화 전략 기획 및 실행 글로벌 기업 포함 외부 협력사/개발사(외주)발굴 및 제휴 구조 설계 글로벌 시장을 포함한 IP 계약,사업 제휴 및 퍼블리싱 기회 확보 신규 수익 모델 발굴 및 사업 타당성 검토 시장/경쟁사/유저 리서치를 기반으로 한 사업 방향성 제안']",['플랫폼'],[]
0224_GI48308360_펑타이그레이터차이나(유) 채용 - [PTKOREA] 글로벌 디지털 콘텐츠 디자이너 _ 잡코리아,데이터 분석가,펑타이그레이터차이나(유),['글로벌 디지털 콘텐츠'],"['유관부서와의 원만한 협업과 소통이 가능하신 분', 'e-commerce/Branding 등 다양한 프로젝트 수행 경험을 보유하신 분', '인터랙티브 디자인,프로토 타이핑 역량이 있으신 분', 'UI디자인 및 반응형 디자인 시스템 구축 경험이 있으신 분', 'Figma,XD,Sketch 등 다양한 툴에 대한 관심이 높으신 분']",[]
0225_GI48157232_펑타이그레이터차이나(유) 채용 - [PTKOREA] 중국 디지털 마케팅 AE _ 잡코리아,데이터 분석가,펑타이그레이터차이나(유),['중국 디지털 마케팅 AE'],"['디지털 광고 에이전시 및 광고 대행사 출신이신 분', '최신 유행에 민감하며 창의적인 아이디어가 샘솟는 분', '능숙한 중국어 활용 가능하신 분', '(Business 중국어) 중국인일 경우,Fulltime 근무에 이슈 없으신 분']","['R', 'Excel']"
0226_GI48222963_펑타이그레이터차이나 유한회사 채용 - [PTKOREA] 디지털 캠페인 기획자(AE) _ 잡코리아,데이터 분석가,펑타이그레이터차이나 유한회사,['디지털 캠페인 기획자'],"['디지털 광고 대행사에서의 소셜 캠페인 업무 전문성을 보유하신 분(기획,제안,실행,협업) 프로젝트 리딩 경험이 있으신 분', '적극적이고 주도적으로 일하는 태도,커뮤니케이션 역량이 뛰어나신 분', '스스로 문제를 정리하고 해결 방법을 창출할 줄 아는 주도성을 갖추신 분', '열린마음과 자세로 협업할 수 있는 분']",[]
